id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href,Thời gian ghi nhận,Gia_Thuc_Te_Trieu,Gia_AI_Du_Doan_Trieu,Co_Bat_Thuong,Ly_Do_Chi_Tiet
60,wave alpha 2024,17.000.000 đ,12.56 tr,14.75 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",cần bán wave alpha 2024 kiểng nhẹ bstp 9c mới đi được 8000km giá 17tr500k,Hãng khác,Dòng khác,2024,8000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123677839.htm,2025-11-28 12:11:09,17.0,10.293477,1,Giá CAO bất thường. AI dự đoán: 10.29 tr. (Cao hơn 65%)
62,Bán xe Honda Rebel 250cc năm 1986,106.000.000 đ,,,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Bán xe Honda Rebel 250cc năm 1986

Xe nhà đang đi giờ em muốn đổi xe khác nên bán lại cho anh em nào yêu thích dòng xe này.

- Dung tích: 250cc
- Năm sản xuất: 1986
- Đồ zin: 95%
- Tình trạng: Hoàn hảo, nguyên bản, xe đẹp

Giấy tờ
- Hải quan chính ngạch
- Xe chính chủ, mua bán sang tên ngay luôn.
- Biển số TP HCM

Tình trạng xe
- Xe đang chạy ngon lành, mượt mà
- Bảo dưỡng định kỳ
- Không cần sửa chữa, mua về chỉ đổ xăng vào chạy
- Xe kiểu dáng huyền thoại, phong cách cổ điển
- Động cơ mạnh mẽ, bền bỉ
- Phù hợp cho những ai yêu thích dòng xe mô tô cổ

Giá bán: 106 triệu

Anh em thiện chí mua liên hệ trực tiếp với em là chính chủ, xem xe tại Quận 1.
Cảm ơn Chợ Tốt đã đăng tin!",Honda,Rebel,1986,50000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/121008418.htm,2025-11-28 12:11:09,106.0,52.000122,1,Giá CAO bất thường. AI dự đoán: 52.00 tr. (Cao hơn 104%)
64,cần bán,370 đ,361.56 tr,424.44 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","𝐓𝐫𝐢𝐮𝐦𝐩𝐡 Bonneville 𝐓𝟗𝟎𝟎 MY2024
Màu Jet Black siêu đẹp
- Đăng ký lần đầu 2/2024 một chủ, tôi chủ từ đầu. Biển số TP thuế sang tên 1%
- Odo lướt: 8900km xe đi kĩ, chưa một lần đổ ngã. Xe có gắn thêm chống đổ, che két nước, bv gầm…
- Giá em bán: 3xx triệu, cam kết xe không đâm đụng, không ngập nước, ngã…
☎️ 𝑯𝒐𝒕𝒍𝒊𝒏𝒆: ***",Triumph,Triumph Bonneville T100,2024,8900,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123668716.htm,2025-11-28 12:11:09,0.00037,7.0273867,1,Giá RẺ bất thường. AI dự đoán: 7.03 tr. (Thấp hơn 100%)
67,dư dùng nên bán,1 đ,30.13 tr,35.37 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe 2019 , 9c bstp sang tên uỷ quyền vô tư . Xe có vô một số đồ chơi . Xe nhà chạy kĩ , dàn ngoài có trày ít theo năm tháng . Mua về chỉ đổ xăng vô chạy . Xe chưa rớt đầu . Giá 3x trung , có thương lượng",Honda,Vario,2019,81000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123663692.htm,2025-11-28 12:11:09,1e-06,23.11755,1,Giá RẺ bất thường. AI dự đoán: 23.12 tr. (Thấp hơn 100%)
71,cần bán xe,28.000.000 đ,10.63 tr,12.48 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Mọi thông tin thắc mắc xin vui lòng liên hệ giao xe tận tay nếu cần giấy tờ đầy đủ,Hãng khác,Dòng khác,2022,30,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123619169.htm,2025-11-28 12:11:09,28.0,16.594751,1,Giá CAO bất thường. AI dự đoán: 16.59 tr. (Cao hơn 69%)
87,CẦN BÁN XE SH 2020 150 CBS 2020 TRẮNG GIÁ TỐT,75.000.000 đ,65.71 tr,77.13 tr,"Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","SH 2020 150 CBS 2020 TRẮNG CHÍNH CHỦ - 1 ĐỜI CHỦ
Odo 49530 . 
Xe chạy kĩ , 2000km thay nhớ 1 lần LIQUI
3000 Thay nhớt Lap vệ sinh nồi
Giá mong muốn 76tr
LH *** - Phát Chính chủ .
Xem xe tại Quận 1",Honda,SH,2020,49530,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123498310.htm,2025-11-28 12:11:09,75.0,46.270725,1,Giá CAO bất thường. AI dự đoán: 46.27 tr. (Cao hơn 62%)
89,54zz máy nhão gtdd,4.000.000 đ,28.55 tr,33.51 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Máy 54zz máy kêu
Bán hoặc giao lưu mio hoặc luvias",Yamaha,Exciter,2023,40000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123476920.htm,2025-11-28 12:11:09,4.0,25.240824,1,Giá RẺ bất thường. AI dự đoán: 25.24 tr. (Thấp hơn 84%)
92,Bán Vespa nhập nguyên chiếc Ý,26.000.000 đ,12.7 tr,14.9 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","Cần bán Vespa 4 Van nhập khẩu Ý
Biển số phong thuỷ 
8838 là Phát phát mãi phát
Xe đẹp￼, máy êm, giấy tờ đầy đủ, bao công chứng
Xe chạy rất vọt, máy im ru
Xem xe Quận 1 tại nhà",Piaggio,GTS,2009,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123431124.htm,2025-11-28 12:11:09,26.0,15.55295,1,Giá CAO bất thường. AI dự đoán: 15.55 tr. (Cao hơn 67%)
94,Xe mới dọn sạch sẽ,13.400.000 đ,10.39 tr,12.2 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh",Cần bán xe như hình 2018 nói chung xe sạch sẽ… ko cần ta nhiều,Honda,Wave,2018,39000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123440348.htm,2025-11-28 12:11:09,13.4,8.143192,1,Giá CAO bất thường. AI dự đoán: 8.14 tr. (Cao hơn 65%)
95,Bán cho ae dam mê xe xipo,15.000.000 đ,118.87 tr,139.54 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh",Xe đẹp như hình máy bao ngon bao êm mua về chỉ chạy ko nhận tin nhấn mua gọi đt hoặc zalo nhé ok ***,Suzuki,Sport / Xipo,1998,15000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123422941.htm,2025-11-28 12:11:09,15.0,72.39694,1,Giá RẺ bất thường. AI dự đoán: 72.40 tr. (Thấp hơn 79%)
101,Bán cho ai có nhu cầu,11.100.000 đ,3.91 tr,4.59 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Xe chính chủ
Giá còn thương lượng
32/16 nguyễn hữu cầu",Hãng khác,Dòng khác,2001,50000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123372901.htm,2025-11-28 12:11:09,11.1,5.632606,1,Giá CAO bất thường. AI dự đoán: 5.63 tr. (Cao hơn 97%)
106,Xe hoạt động tốt giá xe chạy sang,2.600.000 đ,10.02 tr,11.76 tr,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",Xe mỗi chức năng hoạt động tốt.ai cần đi làm đi nhậu đều hợp lệ cả..nay không sử dụng để ai có nhu cầu xin liên hệ em,Honda,Air Blade,2011,23,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123322143.htm,2025-11-28 12:11:09,2.6,8.961826,1,Giá RẺ bất thường. AI dự đoán: 8.96 tr. (Thấp hơn 71%)
109,còn thương lượng,12.000.000 đ,3.91 tr,4.59 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Cần bán gấp xe như mới
Liên hệ nhanh với e nha",Hãng khác,Dòng khác,2001,150000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123317552.htm,2025-11-28 12:11:09,12.0,5.9378295,1,Giá CAO bất thường. AI dự đoán: 5.94 tr. (Cao hơn 102%)
125,Cần thanh lý lại Xe,30.000.000 đ,21.39 tr,25.11 tr,"Phường Nguyễn Thái Bình, Quận 1, Tp Hồ Chí Minh",Xe còn rất mới chỉ đi được 2 lần chương ***,Hãng khác,Dòng khác,trước năm 1980,50,Đã sử dụng,Tay ga,Dưới 50 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/123171238.htm,2025-11-28 12:11:09,30.0,18.44598,1,Giá CAO bất thường. AI dự đoán: 18.45 tr. (Cao hơn 63%)
141,Wave alpha 2002 bstp chính chủ,14.500.000 đ,10.55 tr,12.38 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Do không còn nhu cầu sử dụng nên bán em nó,xe nhà đang đi máy móc ổn định,xe đã làm nồi,đầu lòng vì xe dùng để đi nên máy móc xuống thì phải làm đi cho mạnh,máy móc làm theo zin chứ không độ.máy giữa chưa chẻ.xe chính mình đứng tên.ưu tiên bán cho người sử dụng,cò lái giá này mấy anh không lấy được đâu,xin cám ơn.",Honda,Wave,2002,100000,Đã sử dụng,Xe số,50 - 100 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124506323.htm,2025-11-28 12:11:09,14.5,7.3135405,1,Giá CAO bất thường. AI dự đoán: 7.31 tr. (Cao hơn 98%)
155,Xe Honda Spacy 2001 xuất xứ Nhựt,85.000.000 đ,23.12 tr,27.14 tr,"Phường 10, Quận 3, Tp Hồ Chí Minh","Xe Honda Spacy đăng ký đời 2001
Xuất xứ: Nhựt
Màu nho",Honda,Spacy,2001,85000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/122655890.htm,2025-11-28 12:11:09,85.0,31.313015,1,Giá CAO bất thường. AI dự đoán: 31.31 tr. (Cao hơn 171%)
158,Chính chủ cần bán,74.000.000 đ,43.05 tr,50.54 tr,"Phường 3, Quận 3, Tp Hồ Chí Minh","Cần bán vespa sprint s150. Xe chính chủ zin keng ko vết trầy. Bao rút hs sang tên bấm biển. Xe full ls bảo dưỡng cỏn bảo hành. Xem xe q3 bao check hãng
Giá 7x nhỏ xíu. Lh ***",Piaggio,Vespa,2022,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124493508.htm,2025-11-28 12:11:09,74.0,47.53024,1,Giá CAO bất thường. AI dự đoán: 47.53 tr. (Cao hơn 56%)
159,cần ra đi em xe tâm huyết máy zin biển tp,46.000.000 đ,41.9 tr,49.18 tr,"Phường 12, Quận 3, Tp Hồ Chí Minh","Exciter 2010 5p71 máy nguyên zin xe đẹp lengkeng
Xe biển tp - xe chuẩn zin nhé
Hình sao xe vậy nói không với từ chỉnh sữa hình anh",Yamaha,Exciter,2010,54000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124391403.htm,2025-11-28 12:11:09,46.0,28.84293,1,Giá CAO bất thường. AI dự đoán: 28.84 tr. (Cao hơn 59%)
161,ban xe,80.000.000 đ,62.76 tr,73.68 tr,"Phường 1, Quận 3, Tp Hồ Chí Minh",Xe còn đẹp. Chính chủ. Ko đâm đụng. Xem xe tại nhà,Honda,SH,2019,50000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124395562.htm,2025-11-28 12:11:09,80.0,42.400536,1,Giá CAO bất thường. AI dự đoán: 42.40 tr. (Cao hơn 89%)
162,"XE NHÀ DÙNG, FUTURE BỀN ĐẸP VỚI THỜI GIAN",35.000.000 đ,14.16 tr,16.63 tr,"Phường 4, Quận 3, Tp Hồ Chí Minh","-Xe 1 đời chủ, bao sang tên
-Máy đề là nổ, bao tiết kiệm xăng
-Xe mới keng, anh em mua sưu tầm liên hệ.
-Xe ở Q3",Honda,Future,2000,12000,Đã sử dụng,Xe số,100 - 175 cc,Thái Lan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124330476.htm,2025-11-28 12:11:09,35.0,15.656689,1,Giá CAO bất thường. AI dự đoán: 15.66 tr. (Cao hơn 124%)
163,BÁN XE CÒN NGUYEN BẢN,80.000.000 đ,35.74 tr,41.95 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Gia đình xe muốn bán HONDA đời 82 . Xe đi ít nên rất đẹp, máy móc zin đi êm, sơn nhựa đẹp còn ZIN chắc chắn. Giấy tờ đầy đủ, xem xe trực tiếp tại nhà.
Ac quan tâm alo nhé!
 ĐT: *** anh Quang",Honda,Dòng khác,1998,70000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124059561.htm,2025-11-28 12:11:09,80.0,19.11937,1,Giá CAO bất thường. AI dự đoán: 19.12 tr. (Cao hơn 318%)
165,Bán xe,6.000.000 đ,16.53 tr,19.41 tr,"Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","Xe còn ngon máy khô ,đang hoăc động tốt nhà chật quá nên bán bất ,xe này cày như trâu giáy tờ đày đủ",Honda,Lead,2016,100,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124194571.htm,2025-11-28 12:11:09,6.0,15.346539,1,Giá RẺ bất thường. AI dự đoán: 15.35 tr. (Thấp hơn 61%)
167,R15v3 Full Option_ ***,43.000.000 đ,31.1 tr,36.51 tr,"Phường 9, Quận 3, Tp Hồ Chí Minh","📍 Tạm gác lại tâm huyết cho ae nào thật sự đam mê R15v3 dọn style thuần sport gần full topping :
+ Kính chắn gió R1 
+ Set pô AK full bầu hơi form race 
+ Số gãy Fauvism ( chân đưa lên cao + đá số bao nhẹ ) 
+ Mỏ cày moto GP 
+ Bi cầu 
+ Lọc gió K&N real 
+ Chống đổ 
+ Trợ sáng 
+ Gù tạ chống rung 
+ Gần full ốc salaya, ốc zin chi tiết quan trọng leng keng 
+ Full bộ ghi đông thuần sport+ cục nâng ghi đông, ốc chảng ba titan trắng 
+ Cùm công tắc moto GP 
+ Cùm công tắc domino, nút passing, on off đèn, xi nhan, kèn,…
+ Núm chỉnh phuộc cnc 
+ Cùm tăng Daytona + dây ga cacbon 
+ Xi nhan trước, sau 
+ Tay thắng rcb khúc gãy perdosa, núm chỉnh GH racing, dầu brembo DOT 4 
+ Tay côn TWM
+ Hóc gió mỏ dè 
+ Cặp vỏ Firreli Rosso 3 150/110 
+ Nhông dĩa Recto mới thay
+ Sên DID vàng 
+ Pad biển số đút gầm tuỳ chỉnh 
+ Gác chân sau, mâm sơn đen bóng tĩnh điện 
+ Linh tinh lặt vặt ae đến xem xe tự ngâm cứu thêm nhen mãi iu 🫶 Tất cả đồ chơi là đồ new đập hộp hết.

- Xe tâm huyết tuần rửa xe/ lần, nhớt nhao 1500km/ lần, tiền đồ hơn chục chai. Ae nhanh gọn dui dẻ tặng lun yên Solo 
📍Ae đam mê liên hệ qua tn hoặc call trực tiếp: *** ( Hà )",Yamaha,R,2020,30000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/124120576.htm,2025-11-28 12:11:09,43.0,27.26281,1,Giá CAO bất thường. AI dự đoán: 27.26 tr. (Cao hơn 58%)
171,Cần bán sh 150 ý đầu 105,12.345.678 đ,98.4 tr,115.51 tr,"Phường 11, Quận 3, Tp Hồ Chí Minh","Cần bán sh 150 ý đầu máy 105. Bs tphcm . Đăng ký 2010 chính chủ ký giấy mua bán hay ủy quyền tùy ae 
Tình trạng máy móc nguyên zin đầu chao chưa chạm, dàn áo mới sơn lại đỏ tươi 
Giá: 133tr có giá fixx đẹp cho ae xem e trực tiếp nhanh gọn",Honda,SH,2010,50000,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123914282.htm,2025-11-28 12:11:09,12.345678,101.42339,1,Giá RẺ bất thường. AI dự đoán: 101.42 tr. (Thấp hơn 88%)
